City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,vila do maio,15.1333,-23.2167,299.65,76,0,5.73,CV,1731360725
265,gorontalo,0.5412,123.0595,297.19,94,75,1.31,ID,1731360726
266,orange walk,17.8333,-88.8333,300.46,90,19,1.05,BZ,1731360728
267,beyneu,45.3167,55.2,278.09,66,88,3.78,KZ,1731360729
268,isahaya,32.8411,130.0431,289.46,88,0,1.49,JP,1731360730
269,bel ombre,-4.6167,55.4167,301.06,78,75,5.14,SC,1731360731
270,vorkuta,67.5,64.0,262.49,96,100,2.52,RU,1731360732
271,guozhen,34.3659,107.359,284.89,76,84,0.76,CN,1731360733
272,east ballina,-28.8667,153.5833,294.19,96,100,2.68,AU,1731360735
273,kingston,17.997,-76.7936,301.57,82,100,0.83,JM,1731360685
274,keflavik,64.0049,-22.5624,283.39,100,100,16.46,IS,1731360737
275,cananea,30.95,-110.3,292.71,15,100,5.16,MX,1731360739
276,conde,-7.2597,-34.9075,299.85,74,0,3.09,BR,1731360711
277,mykhaylivka,47.2724,35.2224,275.38,76,42,3.57,UA,1731360742
278,sisimiut,66.9395,-53.6735,266.87,90,99,2.76,GL,1731360743
279,kolonia,50.9333,6.95,282.66,90,75,4.12,DE,1731360597
280,cruzeiro do sul,-29.5128,-51.9853,296.77,88,86,2.68,BR,1731360745
281,williams lake,52.1415,-122.1445,278.18,94,100,2.06,CA,1731360746
282,baie-comeau,49.2168,-68.1489,273.97,100,100,1.03,CA,1731360747
283,olyokminsk,60.3736,120.4264,257.28,96,100,1.09,RU,1731360749
284,cill airne,52.05,-9.5167,282.08,93,27,1.18,IE,1731360750
285,hamilton,39.1834,-84.5333,291.29,61,0,6.17,US,1731360629
286,saint-francois,46.4154,3.9054,282.84,81,100,5.66,FR,1731360753
287,weno,7.4515,151.8468,301.12,89,100,4.12,FM,1731360754
288,villa gesell,-37.2639,-56.973,286.2,75,97,8.89,AR,1731360756
289,oum hadjer,13.2954,19.6966,300.45,23,5,4.53,TD,1731360757
290,frenda,35.0654,1.0495,283.28,81,49,1.66,DZ,1731360758
291,dryden,49.7833,-92.7503,272.31,80,40,1.54,CA,1731360759
292,zhangjiajie,29.1294,110.4783,290.0,75,94,0.72,CN,1731360760
293,fort bragg,35.139,-79.006,295.9,78,100,4.12,US,1731360559
294,wurtulla,-26.7568,153.1256,295.96,96,100,1.79,AU,1731360762
295,lillehammer,61.1146,10.4674,274.41,86,6,2.04,NO,1731360764
296,lorengau,-2.0226,147.2712,301.78,78,100,4.23,PG,1731360765
297,lansdowne,39.9382,-75.2719,294.33,54,0,1.79,US,1731360766
298,santa elena de uairen,4.6167,-61.1333,296.14,67,100,2.45,VE,1731360767
299,mount isa,-20.7333,139.5,298.02,44,75,0.51,AU,1731360768
300,nava,28.4167,-100.7667,301.69,37,40,2.21,MX,1731360769
301,tionk essil,12.7856,-16.5217,299.59,45,74,0.89,SN,1731360771
302,ingeniero guillermo n. juarez,-23.9,-61.85,300.95,50,9,10.05,AR,1731360772
303,east london,-33.0153,27.9116,289.9,85,2,3.15,ZA,1731360773
304,kayabaglar,37.9825,41.6653,285.09,72,52,1.32,TR,1731360774
305,ust-tsilma,65.441,52.1498,271.01,98,100,0.89,RU,1731360775
306,lumphat,13.4878,106.9816,295.05,91,94,0.69,KH,1731360776
307,mocorito,25.4833,-107.9167,306.72,20,42,2.76,MX,1731360778
308,susuman,62.7833,148.1667,251.44,98,100,1.44,RU,1731360780
309,ain sefra,32.75,-0.5833,285.37,64,5,2.36,DZ,1731360781
310,bikin,46.8161,134.26,272.14,97,100,0.07,RU,1731360782
311,ironwood,46.4547,-90.171,274.6,69,100,4.12,US,1731360690
312,jabor,5.921,169.6434,301.78,74,32,3.78,MH,1731360785
313,cole harbour,44.6724,-63.4751,285.81,94,100,5.14,CA,1731360786
314,darsi,15.7695,79.6777,296.38,70,95,2.13,IN,1731360787
315,markala,13.7021,-6.0659,299.13,23,1,2.1,ML,1731360788
316,georgetown,5.4112,100.3354,299.11,84,40,0.89,MY,1731360777
317,kingscliff,-28.2667,153.5667,295.04,94,100,5.66,AU,1731360790
318,fortuna,40.5982,-124.1573,288.34,77,75,0.0,US,1731360791
319,izobil'nyy,45.3709,41.7084,279.31,72,93,4.81,RU,1731360793
320,grand falls-windsor,48.9332,-55.6649,277.87,80,100,0.45,CA,1731360795
321,carutapera,-1.195,-46.02,299.35,81,54,4.11,BR,1731360796
322,kropyvnytskyi,48.5132,32.2597,275.15,83,46,2.75,UA,1731360797
323,primero de mayo,-32.2552,-58.4228,294.16,23,37,8.5,AR,1731360799
324,sao raimundo das mangabeiras,-7.0219,-45.4811,295.89,96,100,1.71,BR,1731360800
325,uturoa,-16.7333,-151.4333,299.3,81,88,7.86,PF,1731360801
326,alenquer,-1.9417,-54.7383,303.09,53,100,1.15,BR,1731360802
327,rio preto da eva,-2.6994,-59.6997,303.64,46,94,1.44,BR,1731360803
328,oranjemund,-28.55,16.4333,288.2,91,1,4.23,NA,1731360804
329,magadan,59.5667,150.8,260.11,72,100,4.33,RU,1731360807
330,umm kaddadah,13.6017,26.6876,298.01,20,0,7.49,SD,1731360808
331,limulunga,-15.0969,23.1376,293.59,86,100,3.5,ZM,1731360809
